关卡id,守关BOSS,展示模型,关卡奖励,战斗地图,镜像属性系数,镜像奖励,护卫BOSS,护卫奖励
1067,51067,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.86,""hp"":1.86","{""a"":""item"",""t"":""2026"",""n"":10}",10495,"{""a"":""item"",""t"":""2026"",""n"":1}"
1068,51068,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.86,""hp"":1.86","{""a"":""item"",""t"":""2026"",""n"":10}",10495,"{""a"":""item"",""t"":""2026"",""n"":1}"
1069,51069,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.86,""hp"":1.86","{""a"":""item"",""t"":""2026"",""n"":10}",10496,"{""a"":""item"",""t"":""2026"",""n"":1}"
1070,51070,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.86,""hp"":1.86","{""a"":""item"",""t"":""2026"",""n"":10}",10496,"{""a"":""item"",""t"":""2026"",""n"":1}"
1071,51071,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10496,"{""a"":""item"",""t"":""2026"",""n"":1}"
1072,51072,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10496,"{""a"":""item"",""t"":""2026"",""n"":1}"
1073,51073,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10497,"{""a"":""item"",""t"":""2026"",""n"":1}"
1074,51074,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10497,"{""a"":""item"",""t"":""2026"",""n"":1}"
1075,51075,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10497,"{""a"":""item"",""t"":""2026"",""n"":1}"
1076,51076,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10497,"{""a"":""item"",""t"":""2026"",""n"":1}"
1077,51077,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10498,"{""a"":""item"",""t"":""2026"",""n"":1}"
1078,51078,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10498,"{""a"":""item"",""t"":""2026"",""n"":1}"
1079,51079,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10498,"{""a"":""item"",""t"":""2026"",""n"":1}"
1080,51080,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.87,""hp"":1.87","{""a"":""item"",""t"":""2026"",""n"":10}",10498,"{""a"":""item"",""t"":""2026"",""n"":1}"
1081,51081,14036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10499,"{""a"":""item"",""t"":""2026"",""n"":1}"
1082,51082,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10499,"{""a"":""item"",""t"":""2026"",""n"":1}"
1083,51083,31086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10499,"{""a"":""item"",""t"":""2026"",""n"":1}"
1084,51084,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10499,"{""a"":""item"",""t"":""2026"",""n"":1}"
1085,51085,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10500,"{""a"":""item"",""t"":""2026"",""n"":1}"
1086,51086,55016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10500,"{""a"":""item"",""t"":""2026"",""n"":1}"
1087,51087,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10500,"{""a"":""item"",""t"":""2026"",""n"":1}"
1088,51088,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10500,"{""a"":""item"",""t"":""2026"",""n"":1}"
1089,51089,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10501,"{""a"":""item"",""t"":""2026"",""n"":1}"
1090,51090,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.88,""hp"":1.88","{""a"":""item"",""t"":""2026"",""n"":10}",10501,"{""a"":""item"",""t"":""2026"",""n"":1}"
1091,51091,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10501,"{""a"":""item"",""t"":""2026"",""n"":1}"
1092,51092,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10501,"{""a"":""item"",""t"":""2026"",""n"":1}"
1093,51093,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10502,"{""a"":""item"",""t"":""2026"",""n"":1}"
1094,51094,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10502,"{""a"":""item"",""t"":""2026"",""n"":1}"
1095,51095,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10502,"{""a"":""item"",""t"":""2026"",""n"":1}"
1096,51096,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10502,"{""a"":""item"",""t"":""2026"",""n"":1}"
1097,51097,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10503,"{""a"":""item"",""t"":""2026"",""n"":1}"
1098,51098,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10503,"{""a"":""item"",""t"":""2026"",""n"":1}"
1099,51099,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10503,"{""a"":""item"",""t"":""2026"",""n"":1}"
1100,51100,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.89,""hp"":1.89","{""a"":""item"",""t"":""2026"",""n"":10}",10503,"{""a"":""item"",""t"":""2026"",""n"":1}"
1101,51101,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10504,"{""a"":""item"",""t"":""2026"",""n"":1}"
1102,51102,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10504,"{""a"":""item"",""t"":""2026"",""n"":1}"
1103,51103,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10504,"{""a"":""item"",""t"":""2026"",""n"":1}"
1104,51104,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10504,"{""a"":""item"",""t"":""2026"",""n"":1}"
1105,51105,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10505,"{""a"":""item"",""t"":""2026"",""n"":1}"
1106,51106,14036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10505,"{""a"":""item"",""t"":""2026"",""n"":1}"
1107,51107,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10505,"{""a"":""item"",""t"":""2026"",""n"":1}"
1108,51108,13046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10505,"{""a"":""item"",""t"":""2026"",""n"":1}"
1109,51109,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10506,"{""a"":""item"",""t"":""2026"",""n"":1}"
1110,51110,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.9,""hp"":1.9","{""a"":""item"",""t"":""2026"",""n"":10}",10506,"{""a"":""item"",""t"":""2026"",""n"":1}"
1111,51111,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10506,"{""a"":""item"",""t"":""2026"",""n"":1}"
1112,51112,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10506,"{""a"":""item"",""t"":""2026"",""n"":1}"
1113,51113,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10507,"{""a"":""item"",""t"":""2026"",""n"":1}"
1114,51114,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10507,"{""a"":""item"",""t"":""2026"",""n"":1}"
1115,51115,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10507,"{""a"":""item"",""t"":""2026"",""n"":1}"
1116,51116,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10507,"{""a"":""item"",""t"":""2026"",""n"":1}"
1117,51117,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10508,"{""a"":""item"",""t"":""2026"",""n"":1}"
1118,51118,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10508,"{""a"":""item"",""t"":""2026"",""n"":1}"
1119,51119,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10508,"{""a"":""item"",""t"":""2026"",""n"":1}"
1120,51120,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.91,""hp"":1.91","{""a"":""item"",""t"":""2026"",""n"":10}",10508,"{""a"":""item"",""t"":""2026"",""n"":1}"
1121,51121,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10509,"{""a"":""item"",""t"":""2026"",""n"":1}"
1122,51122,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10509,"{""a"":""item"",""t"":""2026"",""n"":1}"
1123,51123,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10509,"{""a"":""item"",""t"":""2026"",""n"":1}"
1124,51124,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10509,"{""a"":""item"",""t"":""2026"",""n"":1}"
1125,51125,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10510,"{""a"":""item"",""t"":""2026"",""n"":1}"
1126,51126,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10510,"{""a"":""item"",""t"":""2026"",""n"":1}"
1127,51127,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10510,"{""a"":""item"",""t"":""2026"",""n"":1}"
1128,51128,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10510,"{""a"":""item"",""t"":""2026"",""n"":1}"
1129,51129,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10511,"{""a"":""item"",""t"":""2026"",""n"":1}"
1130,51130,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.92,""hp"":1.92","{""a"":""item"",""t"":""2026"",""n"":10}",10511,"{""a"":""item"",""t"":""2026"",""n"":1}"
1131,51131,14036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10511,"{""a"":""item"",""t"":""2026"",""n"":1}"
1132,51132,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10511,"{""a"":""item"",""t"":""2026"",""n"":1}"
1133,51133,31086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10512,"{""a"":""item"",""t"":""2026"",""n"":1}"
1134,51134,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10512,"{""a"":""item"",""t"":""2026"",""n"":1}"
1135,51135,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10512,"{""a"":""item"",""t"":""2026"",""n"":1}"
1136,51136,55016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10512,"{""a"":""item"",""t"":""2026"",""n"":1}"
1137,51137,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10513,"{""a"":""item"",""t"":""2026"",""n"":1}"
1138,51138,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10513,"{""a"":""item"",""t"":""2026"",""n"":1}"
1139,51139,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10513,"{""a"":""item"",""t"":""2026"",""n"":1}"
1140,51140,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.93,""hp"":1.93","{""a"":""item"",""t"":""2026"",""n"":10}",10513,"{""a"":""item"",""t"":""2026"",""n"":1}"
1141,51141,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10514,"{""a"":""item"",""t"":""2026"",""n"":1}"
1142,51142,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10514,"{""a"":""item"",""t"":""2026"",""n"":1}"
1143,51143,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10514,"{""a"":""item"",""t"":""2026"",""n"":1}"
1144,51144,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10514,"{""a"":""item"",""t"":""2026"",""n"":1}"
1145,51145,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10515,"{""a"":""item"",""t"":""2026"",""n"":1}"
1146,51146,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10515,"{""a"":""item"",""t"":""2026"",""n"":1}"
1147,51147,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10515,"{""a"":""item"",""t"":""2026"",""n"":1}"
1148,51148,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10515,"{""a"":""item"",""t"":""2026"",""n"":1}"
1149,51149,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10516,"{""a"":""item"",""t"":""2026"",""n"":1}"
1150,51150,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.94,""hp"":1.94","{""a"":""item"",""t"":""2026"",""n"":10}",10516,"{""a"":""item"",""t"":""2026"",""n"":1}"
1151,51151,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10516,"{""a"":""item"",""t"":""2026"",""n"":1}"
1152,51152,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10516,"{""a"":""item"",""t"":""2026"",""n"":1}"
1153,51153,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10517,"{""a"":""item"",""t"":""2026"",""n"":1}"
1154,51154,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10517,"{""a"":""item"",""t"":""2026"",""n"":1}"
1155,51155,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10517,"{""a"":""item"",""t"":""2026"",""n"":1}"
1156,51156,14036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10517,"{""a"":""item"",""t"":""2026"",""n"":1}"
1157,51157,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10518,"{""a"":""item"",""t"":""2026"",""n"":1}"
1158,51158,13046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10518,"{""a"":""item"",""t"":""2026"",""n"":1}"
1159,51159,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10518,"{""a"":""item"",""t"":""2026"",""n"":1}"
1160,51160,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.95,""hp"":1.95","{""a"":""item"",""t"":""2026"",""n"":10}",10518,"{""a"":""item"",""t"":""2026"",""n"":1}"
1161,51161,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10519,"{""a"":""item"",""t"":""2026"",""n"":1}"
1162,51162,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10519,"{""a"":""item"",""t"":""2026"",""n"":1}"
1163,51163,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10519,"{""a"":""item"",""t"":""2026"",""n"":1}"
1164,51164,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10519,"{""a"":""item"",""t"":""2026"",""n"":1}"
1165,51165,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10520,"{""a"":""item"",""t"":""2026"",""n"":1}"
1166,51166,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10520,"{""a"":""item"",""t"":""2026"",""n"":1}"
1167,51167,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10520,"{""a"":""item"",""t"":""2026"",""n"":1}"
1168,51168,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10520,"{""a"":""item"",""t"":""2026"",""n"":1}"
1169,51169,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10521,"{""a"":""item"",""t"":""2026"",""n"":1}"
1170,51170,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.96,""hp"":1.96","{""a"":""item"",""t"":""2026"",""n"":10}",10521,"{""a"":""item"",""t"":""2026"",""n"":1}"
1171,51171,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10521,"{""a"":""item"",""t"":""2026"",""n"":1}"
1172,51172,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10521,"{""a"":""item"",""t"":""2026"",""n"":1}"
1173,51173,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10522,"{""a"":""item"",""t"":""2026"",""n"":1}"
1174,51174,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10522,"{""a"":""item"",""t"":""2026"",""n"":1}"
1175,51175,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10522,"{""a"":""item"",""t"":""2026"",""n"":1}"
1176,51176,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10522,"{""a"":""item"",""t"":""2026"",""n"":1}"
1177,51177,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10523,"{""a"":""item"",""t"":""2026"",""n"":1}"
1178,51178,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10523,"{""a"":""item"",""t"":""2026"",""n"":1}"
1179,51179,34026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10523,"{""a"":""item"",""t"":""2026"",""n"":1}"
1180,51180,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.97,""hp"":1.97","{""a"":""item"",""t"":""2026"",""n"":10}",10523,"{""a"":""item"",""t"":""2026"",""n"":1}"
1181,51181,14036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.98,""hp"":1.98","{""a"":""item"",""t"":""2026"",""n"":10}",10524,"{""a"":""item"",""t"":""2026"",""n"":1}"
1182,51182,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_05.jpg,"""atk"":1.98,""hp"":1.98","{""a"":""item"",""t"":""2026"",""n"":10}",10524,"{""a"":""item"",""t"":""2026"",""n"":1}"
